tAB	nAB	tAC	nAC	tBC	nBC	ChA	ChB
5200.00	13766.00	5200.00	0.00	5200.00	0.00	6601145.00	6530980.00
5400.00	13669.00	5400.00	0.00	5400.00	0.00	6679144.00	6652063.00
5600.00	13600.00	5600.00	0.00	5600.00	0.00	6949607.00	6659641.00
5800.00	13497.00	5800.00	0.00	5800.00	0.00	7176694.00	6729386.00
6000.00	13400.00	6000.00	0.00	6000.00	0.00	7320086.00	6783382.00
6200.00	13075.00	6200.00	0.00	6200.00	0.00	7549147.00	6934438.00
6400.00	12907.00	6400.00	0.00	6400.00	0.00	7552676.00	7298319.00
6600.00	12906.00	6600.00	0.00	6600.00	0.00	7605286.00	7303192.00
6800.00	12916.00	6800.00	0.00	6800.00	0.00	7611503.00	7365870.00
7000.00	12571.00	7000.00	0.00	7000.00	0.00	7690401.00	7397726.00
7200.00	12667.00	7200.00	0.00	7200.00	0.00	7749457.00	7407436.00
7400.00	12427.00	7400.00	0.00	7400.00	0.00	7955848.00	7414621.00
7600.00	12710.00	7600.00	0.00	7600.00	0.00	8071140.00	7496922.00
7800.00	12492.00	7800.00	0.00	7800.00	0.00	8113392.00	7540926.00
8000.00	12542.00	8000.00	0.00	8000.00	0.00	8233814.00	7558925.00
8200.00	12458.00	8200.00	0.00	8200.00	0.00	8594031.00	7694542.00
8400.00	12349.00	8400.00	0.00	8400.00	0.00	8613074.00	7827893.00
8600.00	12505.00	8600.00	0.00	8600.00	0.00	8624399.00	7971373.00
8800.00	12327.00	8800.00	0.00	8800.00	0.00	8641585.00	8020978.00
9000.00	12473.00	9000.00	0.00	9000.00	0.00	8730902.00	8025602.00
9200.00	12385.00	9200.00	0.00	9200.00	0.00	8769029.00	8066386.00
9400.00	12501.00	9400.00	0.00	9400.00	0.00	8863964.00	8135186.00
9600.00	12676.00	9600.00	0.00	9600.00	0.00	9036776.00	8167790.00
9800.00	12931.00	9800.00	0.00	9800.00	0.00	9051489.00	8172841.00
10000.00	6652.00	10000.00	0.00	10000.00	0.00	9052126.00	8173455.00
0.00	0.00	0.00	0.00	0.00	0.00	9152290.00	8317074.00
0.00	0.00	0.00	0.00	0.00	0.00	9154729.00	8343048.00
0.00	0.00	0.00	0.00	0.00	0.00	9308103.00	8374324.00
0.00	0.00	0.00	0.00	0.00	0.00	9341580.00	8380218.00
0.00	0.00	0.00	0.00	0.00	0.00	9485382.00	8420575.00
0.00	0.00	0.00	0.00	0.00	0.00	9506729.00	8615514.00
