tAB	nAB	tAC	nAC	tBC	nBC	ChA	ChB
0.00	0.00	0.00	0.00	0.00	0.00	28345964.00	26585494.00
0.00	0.00	0.00	0.00	0.00	0.00	28403822.00	26708966.00
0.00	0.00	0.00	0.00	0.00	0.00	28428625.00	26761984.00
0.00	0.00	0.00	0.00	0.00	0.00	28449781.00	26826613.00
0.00	0.00	0.00	0.00	0.00	0.00	28459521.00	26838398.00
0.00	0.00	0.00	0.00	0.00	0.00	28569845.00	26852450.00
0.00	0.00	0.00	0.00	0.00	0.00	28651191.00	26856138.00
0.00	0.00	0.00	0.00	0.00	0.00	28836523.00	26896806.00
0.00	0.00	0.00	0.00	0.00	0.00	28837659.00	27097454.00
0.00	0.00	0.00	0.00	0.00	0.00	28873049.00	27104727.00
0.00	0.00	0.00	0.00	0.00	0.00	28879460.00	27113551.00
0.00	0.00	0.00	0.00	0.00	0.00	28978918.00	27167556.00
0.00	0.00	0.00	0.00	0.00	0.00	28983541.00	27264889.00
0.00	0.00	0.00	0.00	0.00	0.00	29000230.00	27415935.00
0.00	0.00	0.00	0.00	0.00	0.00	29002740.00	27451857.00
0.00	0.00	0.00	0.00	0.00	0.00	29179425.00	27517698.00
0.00	0.00	0.00	0.00	0.00	0.00	29211222.00	27522958.00
0.00	0.00	0.00	0.00	0.00	0.00	29341847.00	27524315.00
0.00	0.00	0.00	0.00	0.00	0.00	29382767.00	27530215.00
0.00	0.00	0.00	0.00	0.00	0.00	29459903.00	27583195.00
0.00	0.00	0.00	0.00	0.00	0.00	29464004.00	27609146.00
0.00	0.00	0.00	0.00	0.00	0.00	29476583.00	27801349.00
0.00	0.00	0.00	0.00	0.00	0.00	29493591.00	27860385.00
0.00	0.00	0.00	0.00	0.00	0.00	29497804.00	27880134.00
0.00	0.00	0.00	0.00	0.00	0.00	29524856.00	27945820.00
0.00	0.00	0.00	0.00	0.00	0.00	29560387.00	27962505.00
0.00	0.00	0.00	0.00	0.00	0.00	29800510.00	28071341.00
0.00	0.00	0.00	0.00	0.00	0.00	29832178.00	28325738.00
0.00	0.00	0.00	0.00	0.00	0.00	29932555.00	28497619.00
0.00	0.00	0.00	0.00	0.00	0.00	30129898.00	28503237.00
0.00	0.00	0.00	0.00	0.00	0.00	30436800.00	28772210.00
0.00	0.00	0.00	0.00	0.00	0.00	30528917.00	28831309.00
0.00	0.00	0.00	0.00	0.00	0.00	30530447.00	28867991.00
0.00	0.00	0.00	0.00	0.00	0.00	30562172.00	28915596.00
0.00	0.00	0.00	0.00	0.00	0.00	30595702.00	28920650.00
0.00	0.00	0.00	0.00	0.00	0.00	30657363.00	28978826.00
0.00	0.00	0.00	0.00	0.00	0.00	30720088.00	29012265.00
0.00	0.00	0.00	0.00	0.00	0.00	30764613.00	29092933.00
0.00	0.00	0.00	0.00	0.00	0.00	30807167.00	29211147.00
0.00	0.00	0.00	0.00	0.00	0.00	30853777.00	29212156.00
0.00	0.00	0.00	0.00	0.00	0.00	30862511.00	29282109.00
0.00	0.00	0.00	0.00	0.00	0.00	30938790.00	29295232.00
0.00	0.00	0.00	0.00	0.00	0.00	31068054.00	29296790.00
0.00	0.00	0.00	0.00	0.00	0.00	31095058.00	29339041.00
0.00	0.00	0.00	0.00	0.00	0.00	31102145.00	29458414.00
0.00	0.00	0.00	0.00	0.00	0.00	31112033.00	29469825.00
0.00	0.00	0.00	0.00	0.00	0.00	31138807.00	29477038.00
0.00	0.00	0.00	0.00	0.00	0.00	31158615.00	29478018.00
0.00	0.00	0.00	0.00	0.00	0.00	31248770.00	29493649.00
0.00	0.00	0.00	0.00	0.00	0.00	31322774.00	29507038.00
0.00	0.00	0.00	0.00	0.00	0.00	31345435.00	29663499.00
0.00	0.00	0.00	0.00	0.00	0.00	31403395.00	29688502.00
0.00	0.00	0.00	0.00	0.00	0.00	31418303.00	29710791.00
0.00	0.00	0.00	0.00	0.00	0.00	31422876.00	29721940.00
0.00	0.00	0.00	0.00	0.00	0.00	31453602.00	29862197.00
0.00	0.00	0.00	0.00	0.00	0.00	31466377.00	29962230.00
0.00	0.00	0.00	0.00	0.00	0.00	31469102.00	29991895.00
0.00	0.00	0.00	0.00	0.00	0.00	31491888.00	30010209.00
0.00	0.00	0.00	0.00	0.00	0.00	31577602.00	30071809.00
0.00	0.00	0.00	0.00	0.00	0.00	31580715.00	30076518.00
0.00	0.00	0.00	0.00	0.00	0.00	31582605.00	30109560.00
0.00	0.00	0.00	0.00	0.00	0.00	31583724.00	30275479.00
0.00	0.00	0.00	0.00	0.00	0.00	31589438.00	30369913.00
0.00	0.00	0.00	0.00	0.00	0.00	31589887.00	30475247.00
0.00	0.00	0.00	0.00	0.00	0.00	31592001.00	30477040.00
0.00	0.00	0.00	0.00	0.00	0.00	31602382.00	30502504.00
0.00	0.00	0.00	0.00	0.00	0.00	31604774.00	30504321.00
0.00	0.00	0.00	0.00	0.00	0.00	31611249.00	30505170.00
0.00	0.00	0.00	0.00	0.00	0.00	31616139.00	30547989.00
0.00	0.00	0.00	0.00	0.00	0.00	31617796.00	30561185.00
0.00	0.00	0.00	0.00	0.00	0.00	31619821.00	30576777.00
0.00	0.00	0.00	0.00	0.00	0.00	31630424.00	30591746.00
0.00	0.00	0.00	0.00	0.00	0.00	31675986.00	30763070.00
0.00	0.00	0.00	0.00	0.00	0.00	31858168.00	30777500.00
0.00	0.00	0.00	0.00	0.00	0.00	32007541.00	30889669.00
0.00	0.00	0.00	0.00	0.00	0.00	32155186.00	30894192.00
0.00	0.00	0.00	0.00	0.00	0.00	32277012.00	30896879.00
0.00	0.00	0.00	0.00	0.00	0.00	32326524.00	30943996.00
0.00	0.00	0.00	0.00	0.00	0.00	32365291.00	31067040.00
0.00	0.00	0.00	0.00	0.00	0.00	32385943.00	31067337.00
0.00	0.00	0.00	0.00	0.00	0.00	32398887.00	31112176.00
0.00	0.00	0.00	0.00	0.00	0.00	32586251.00	31117660.00
0.00	0.00	0.00	0.00	0.00	0.00	32684183.00	31127153.00
0.00	0.00	0.00	0.00	0.00	0.00	32698995.00	31159043.00
0.00	0.00	0.00	0.00	0.00	0.00	32706554.00	31293299.00
0.00	0.00	0.00	0.00	0.00	0.00	32745496.00	31294016.00
0.00	0.00	0.00	0.00	0.00	0.00	32783724.00	31390338.00
0.00	0.00	0.00	0.00	0.00	0.00	32815361.00	31443674.00
0.00	0.00	0.00	0.00	0.00	0.00	32820795.00	31491157.00
0.00	0.00	0.00	0.00	0.00	0.00	32892537.00	31558206.00
0.00	0.00	0.00	0.00	0.00	0.00	32893387.00	31559098.00
0.00	0.00	0.00	0.00	0.00	0.00	32931505.00	31560986.00
0.00	0.00	0.00	0.00	0.00	0.00	32973158.00	31572203.00
0.00	0.00	0.00	0.00	0.00	0.00	33018091.00	31573104.00
0.00	0.00	0.00	0.00	0.00	0.00	33028517.00	31577753.00
0.00	0.00	0.00	0.00	0.00	0.00	33058169.00	31578650.00
0.00	0.00	0.00	0.00	0.00	0.00	33072584.00	31581254.00
0.00	0.00	0.00	0.00	0.00	0.00	33102667.00	31582376.00
0.00	0.00	0.00	0.00	0.00	0.00	33123567.00	31586334.00
0.00	0.00	0.00	0.00	0.00	0.00	33279904.00	31587602.00
0.00	0.00	0.00	0.00	0.00	0.00	33380031.00	31588372.00
0.00	0.00	0.00	0.00	0.00	0.00	33389878.00	31595954.00
0.00	0.00	0.00	0.00	0.00	0.00	33405575.00	31607290.00
0.00	0.00	0.00	0.00	0.00	0.00	33407054.00	31611651.00
0.00	0.00	0.00	0.00	0.00	0.00	33547349.00	31615266.00
0.00	0.00	0.00	0.00	0.00	0.00	33573184.00	31618910.00
0.00	0.00	0.00	0.00	0.00	0.00	33576524.00	31623182.00
0.00	0.00	0.00	0.00	0.00	0.00	33733199.00	31640951.00
0.00	0.00	0.00	0.00	0.00	0.00	33829202.00	31641899.00
0.00	0.00	0.00	0.00	0.00	0.00	33881943.00	31642208.00
0.00	0.00	0.00	0.00	0.00	0.00	33895525.00	31644508.00
0.00	0.00	0.00	0.00	0.00	0.00	34066972.00	31653802.00
0.00	0.00	0.00	0.00	0.00	0.00	34079178.00	31676628.00
0.00	0.00	0.00	0.00	0.00	0.00	34232892.00	31680562.00
0.00	0.00	0.00	0.00	0.00	0.00	34274294.00	31724719.00
0.00	0.00	0.00	0.00	0.00	0.00	34279866.00	31739086.00
0.00	0.00	0.00	0.00	0.00	0.00	34307138.00	31764911.00
0.00	0.00	0.00	0.00	0.00	0.00	34324233.00	31772182.00
0.00	0.00	0.00	0.00	0.00	0.00	34326905.00	31772692.00
0.00	0.00	0.00	0.00	0.00	0.00	34372876.00	31787868.00
0.00	0.00	0.00	0.00	0.00	0.00	34379627.00	31849589.00
0.00	0.00	0.00	0.00	0.00	0.00	34399236.00	31851053.00
0.00	0.00	0.00	0.00	0.00	0.00	34427070.00	31888076.00
0.00	0.00	0.00	0.00	0.00	0.00	34459465.00	32000549.00
0.00	0.00	0.00	0.00	0.00	0.00	34461801.00	32049142.00
0.00	0.00	0.00	0.00	0.00	0.00	34469125.00	32116056.00
0.00	0.00	0.00	0.00	0.00	0.00	34469414.00	32290204.00
0.00	0.00	0.00	0.00	0.00	0.00	34470053.00	32341590.00
0.00	0.00	0.00	0.00	0.00	0.00	34478049.00	32345288.00
0.00	0.00	0.00	0.00	0.00	0.00	34520904.00	32425651.00
0.00	0.00	0.00	0.00	0.00	0.00	34534478.00	32434732.00
0.00	0.00	0.00	0.00	0.00	0.00	34538673.00	32473182.00
0.00	0.00	0.00	0.00	0.00	0.00	34540626.00	32692812.00
0.00	0.00	0.00	0.00	0.00	0.00	34571222.00	32732809.00
0.00	0.00	0.00	0.00	0.00	0.00	34645409.00	32735132.00
0.00	0.00	0.00	0.00	0.00	0.00	34710146.00	32738657.00
0.00	0.00	0.00	0.00	0.00	0.00	34725449.00	32759611.00
0.00	0.00	0.00	0.00	0.00	0.00	34861505.00	32761448.00
0.00	0.00	0.00	0.00	0.00	0.00	34901475.00	32795705.00
0.00	0.00	0.00	0.00	0.00	0.00	35059457.00	32801528.00
0.00	0.00	0.00	0.00	0.00	0.00	35064917.00	32847611.00
0.00	0.00	0.00	0.00	0.00	0.00	35092233.00	32887827.00
0.00	0.00	0.00	0.00	0.00	0.00	35167433.00	32891379.00
0.00	0.00	0.00	0.00	0.00	0.00	35203563.00	32896348.00
0.00	0.00	0.00	0.00	0.00	0.00	35223262.00	32989823.00
0.00	0.00	0.00	0.00	0.00	0.00	35279195.00	33112890.00
0.00	0.00	0.00	0.00	0.00	0.00	35309941.00	33115360.00
0.00	0.00	0.00	0.00	0.00	0.00	35324838.00	33239002.00
0.00	0.00	0.00	0.00	0.00	0.00	35344204.00	33354383.00
0.00	0.00	0.00	0.00	0.00	0.00	35361034.00	33381584.00
0.00	0.00	0.00	0.00	0.00	0.00	35381261.00	33382628.00
0.00	0.00	0.00	0.00	0.00	0.00	35383658.00	33385336.00
0.00	0.00	0.00	0.00	0.00	0.00	35465451.00	33386764.00
0.00	0.00	0.00	0.00	0.00	0.00	35475780.00	33495095.00
0.00	0.00	0.00	0.00	0.00	0.00	35530753.00	33512787.00
0.00	0.00	0.00	0.00	0.00	0.00	35732021.00	33522156.00
0.00	0.00	0.00	0.00	0.00	0.00	35753618.00	33544424.00
0.00	0.00	0.00	0.00	0.00	0.00	35754874.00	33603277.00
0.00	0.00	0.00	0.00	0.00	0.00	35829021.00	33804490.00
0.00	0.00	0.00	0.00	0.00	0.00	35832063.00	33805724.00
0.00	0.00	0.00	0.00	0.00	0.00	35911562.00	34217516.00
0.00	0.00	0.00	0.00	0.00	0.00	35920103.00	34225373.00
0.00	0.00	0.00	0.00	0.00	0.00	35953193.00	34232110.00
0.00	0.00	0.00	0.00	0.00	0.00	36116478.00	34292763.00
0.00	0.00	0.00	0.00	0.00	0.00	36159107.00	34302001.00
0.00	0.00	0.00	0.00	0.00	0.00	36184172.00	34307572.00
0.00	0.00	0.00	0.00	0.00	0.00	36270428.00	34334069.00
0.00	0.00	0.00	0.00	0.00	0.00	36366055.00	34398311.00
0.00	0.00	0.00	0.00	0.00	0.00	36388182.00	34398624.00
0.00	0.00	0.00	0.00	0.00	0.00	36397879.00	34446630.00
0.00	0.00	0.00	0.00	0.00	0.00	36472921.00	34452391.00
0.00	0.00	0.00	0.00	0.00	0.00	36535424.00	34455655.00
0.00	0.00	0.00	0.00	0.00	0.00	36574321.00	34468980.00
0.00	0.00	0.00	0.00	0.00	0.00	36611385.00	34470810.00
0.00	0.00	0.00	0.00	0.00	0.00	36656738.00	34474519.00
0.00	0.00	0.00	0.00	0.00	0.00	36810364.00	34480664.00
0.00	0.00	0.00	0.00	0.00	0.00	36851761.00	34493835.00
0.00	0.00	0.00	0.00	0.00	0.00	36901779.00	34520486.00
0.00	0.00	0.00	0.00	0.00	0.00	36984767.00	34622406.00
0.00	0.00	0.00	0.00	0.00	0.00	37034842.00	34641463.00
0.00	0.00	0.00	0.00	0.00	0.00	37208954.00	34679094.00
0.00	0.00	0.00	0.00	0.00	0.00	37212713.00	34679832.00
0.00	0.00	0.00	0.00	0.00	0.00	37240775.00	34724672.00
0.00	0.00	0.00	0.00	0.00	0.00	37254577.00	34730414.00
0.00	0.00	0.00	0.00	0.00	0.00	37273045.00	34798872.00
0.00	0.00	0.00	0.00	0.00	0.00	37421562.00	34801932.00
0.00	0.00	0.00	0.00	0.00	0.00	37430134.00	34847348.00
0.00	0.00	0.00	0.00	0.00	0.00	37487265.00	34853835.00
0.00	0.00	0.00	0.00	0.00	0.00	37489753.00	34867914.00
0.00	0.00	0.00	0.00	0.00	0.00	37636567.00	34911214.00
0.00	0.00	0.00	0.00	0.00	0.00	37759590.00	35023558.00
0.00	0.00	0.00	0.00	0.00	0.00	37791486.00	35036564.00
0.00	0.00	0.00	0.00	0.00	0.00	37832785.00	35178960.00
0.00	0.00	0.00	0.00	0.00	0.00	37850330.00	35180080.00
0.00	0.00	0.00	0.00	0.00	0.00	37945830.00	35198600.00
0.00	0.00	0.00	0.00	0.00	0.00	37967808.00	35237284.00
0.00	0.00	0.00	0.00	0.00	0.00	38027548.00	35270585.00
0.00	0.00	0.00	0.00	0.00	0.00	38051008.00	35271062.00
0.00	0.00	0.00	0.00	0.00	0.00	38291257.00	35276777.00
0.00	0.00	0.00	0.00	0.00	0.00	38436042.00	35284401.00
0.00	0.00	0.00	0.00	0.00	0.00	38470764.00	35293621.00
0.00	0.00	0.00	0.00	0.00	0.00	38499193.00	35297875.00
0.00	0.00	0.00	0.00	0.00	0.00	38586770.00	35324328.00
0.00	0.00	0.00	0.00	0.00	0.00	38844181.00	35346416.00
0.00	0.00	0.00	0.00	0.00	0.00	38910671.00	35352629.00
0.00	0.00	0.00	0.00	0.00	0.00	38935585.00	35356641.00
0.00	0.00	0.00	0.00	0.00	0.00	38950613.00	35360687.00
0.00	0.00	0.00	0.00	0.00	0.00	38969979.00	35389750.00
0.00	0.00	0.00	0.00	0.00	0.00	39009279.00	35429652.00
0.00	0.00	0.00	0.00	0.00	0.00	39028496.00	35437074.00
0.00	0.00	0.00	0.00	0.00	0.00	39034680.00	35573575.00
0.00	0.00	0.00	0.00	0.00	0.00	39092582.00	35600421.00
0.00	0.00	0.00	0.00	0.00	0.00	39125158.00	35668038.00
0.00	0.00	0.00	0.00	0.00	0.00	39170172.00	35690353.00
0.00	0.00	0.00	0.00	0.00	0.00	39186956.00	35708419.00
0.00	0.00	0.00	0.00	0.00	0.00	39238188.00	35743561.00
0.00	0.00	0.00	0.00	0.00	0.00	39259549.00	35745926.00
0.00	0.00	0.00	0.00	0.00	0.00	39299108.00	35748274.00
0.00	0.00	0.00	0.00	0.00	0.00	39473453.00	35750164.00
0.00	0.00	0.00	0.00	0.00	0.00	39496875.00	35765840.00
0.00	0.00	0.00	0.00	0.00	0.00	39500778.00	35836166.00
0.00	0.00	0.00	0.00	0.00	0.00	39502193.00	35853702.00
0.00	0.00	0.00	0.00	0.00	0.00	39524954.00	35886049.00
0.00	0.00	0.00	0.00	0.00	0.00	39590005.00	35889851.00
0.00	0.00	0.00	0.00	0.00	0.00	39593161.00	35900789.00
0.00	0.00	0.00	0.00	0.00	0.00	39614552.00	36162606.00
0.00	0.00	0.00	0.00	0.00	0.00	39620842.00	36219075.00
0.00	0.00	0.00	0.00	0.00	0.00	39677052.00	36257938.00
0.00	0.00	0.00	0.00	0.00	0.00	39758671.00	36332212.00
0.00	0.00	0.00	0.00	0.00	0.00	39913885.00	36345608.00
0.00	0.00	0.00	0.00	0.00	0.00	39938281.00	36363811.00
0.00	0.00	0.00	0.00	0.00	0.00	40006333.00	36366180.00
0.00	0.00	0.00	0.00	0.00	0.00	40013989.00	36378094.00
0.00	0.00	0.00	0.00	0.00	0.00	40017516.00	36401881.00
0.00	0.00	0.00	0.00	0.00	0.00	40045925.00	36402193.00
0.00	0.00	0.00	0.00	0.00	0.00	40064331.00	36420164.00
0.00	0.00	0.00	0.00	0.00	0.00	40152724.00	36424705.00
0.00	0.00	0.00	0.00	0.00	0.00	40163729.00	36489524.00
0.00	0.00	0.00	0.00	0.00	0.00	40197052.00	36524213.00
0.00	0.00	0.00	0.00	0.00	0.00	40269378.00	36661005.00
0.00	0.00	0.00	0.00	0.00	0.00	40283433.00	36696871.00
0.00	0.00	0.00	0.00	0.00	0.00	40295510.00	36805383.00
0.00	0.00	0.00	0.00	0.00	0.00	40318039.00	36947138.00
0.00	0.00	0.00	0.00	0.00	0.00	40327085.00	36962502.00
0.00	0.00	0.00	0.00	0.00	0.00	40342829.00	37017553.00
0.00	0.00	0.00	0.00	0.00	0.00	40403690.00	37120222.00
0.00	0.00	0.00	0.00	0.00	0.00	40455193.00	37137019.00
0.00	0.00	0.00	0.00	0.00	0.00	40554508.00	37140662.00
0.00	0.00	0.00	0.00	0.00	0.00	40562966.00	37176247.00
0.00	0.00	0.00	0.00	0.00	0.00	40591071.00	37229826.00
0.00	0.00	0.00	0.00	0.00	0.00	40599690.00	37235210.00
0.00	0.00	0.00	0.00	0.00	0.00	40602600.00	37275616.00
0.00	0.00	0.00	0.00	0.00	0.00	40632370.00	37304743.00
0.00	0.00	0.00	0.00	0.00	0.00	40660072.00	37490204.00
0.00	0.00	0.00	0.00	0.00	0.00	40668524.00	37497147.00
0.00	0.00	0.00	0.00	0.00	0.00	40685834.00	37543030.00
0.00	0.00	0.00	0.00	0.00	0.00	40830431.00	37566178.00
0.00	0.00	0.00	0.00	0.00	0.00	40838212.00	37610383.00
0.00	0.00	0.00	0.00	0.00	0.00	40857233.00	37641564.00
0.00	0.00	0.00	0.00	0.00	0.00	40873928.00	37849273.00
0.00	0.00	0.00	0.00	0.00	0.00	40884924.00	37851080.00
0.00	0.00	0.00	0.00	0.00	0.00	40888700.00	37909585.00
0.00	0.00	0.00	0.00	0.00	0.00	40891776.00	37916562.00
0.00	0.00	0.00	0.00	0.00	0.00	41007193.00	37922088.00
0.00	0.00	0.00	0.00	0.00	0.00	41011378.00	37929086.00
0.00	0.00	0.00	0.00	0.00	0.00	41027723.00	38036894.00
0.00	0.00	0.00	0.00	0.00	0.00	41029522.00	38106423.00
0.00	0.00	0.00	0.00	0.00	0.00	41147754.00	38124926.00
0.00	0.00	0.00	0.00	0.00	0.00	41209686.00	38220224.00
0.00	0.00	0.00	0.00	0.00	0.00	41243307.00	38225397.00
0.00	0.00	0.00	0.00	0.00	0.00	41245590.00	38233600.00
0.00	0.00	0.00	0.00	0.00	0.00	41268824.00	38320458.00
0.00	0.00	0.00	0.00	0.00	0.00	41283670.00	38340511.00
0.00	0.00	0.00	0.00	0.00	0.00	41315061.00	38341319.00
0.00	0.00	0.00	0.00	0.00	0.00	41322845.00	38454092.00
0.00	0.00	0.00	0.00	0.00	0.00	41372944.00	38459344.00
0.00	0.00	0.00	0.00	0.00	0.00	41444009.00	38497178.00
0.00	0.00	0.00	0.00	0.00	0.00	41447932.00	38557453.00
0.00	0.00	0.00	0.00	0.00	0.00	41461827.00	38590348.00
0.00	0.00	0.00	0.00	0.00	0.00	41476573.00	38601349.00
0.00	0.00	0.00	0.00	0.00	0.00	41481183.00	38786532.00
0.00	0.00	0.00	0.00	0.00	0.00	41486379.00	38792520.00
0.00	0.00	0.00	0.00	0.00	0.00	41490130.00	38817487.00
0.00	0.00	0.00	0.00	0.00	0.00	41491259.00	38864958.00
0.00	0.00	0.00	0.00	0.00	0.00	41499216.00	38872816.00
0.00	0.00	0.00	0.00	0.00	0.00	41506657.00	38927984.00
0.00	0.00	0.00	0.00	0.00	0.00	41520049.00	38939054.00
0.00	0.00	0.00	0.00	0.00	0.00	41532520.00	38940106.00
0.00	0.00	0.00	0.00	0.00	0.00	41537290.00	38944795.00
0.00	0.00	0.00	0.00	0.00	0.00	41540529.00	38945995.00
0.00	0.00	0.00	0.00	0.00	0.00	41541867.00	38958592.00
0.00	0.00	0.00	0.00	0.00	0.00	41581257.00	38988796.00
0.00	0.00	0.00	0.00	0.00	0.00	41620626.00	39004793.00
0.00	0.00	0.00	0.00	0.00	0.00	41708295.00	39011839.00
0.00	0.00	0.00	0.00	0.00	0.00	41780501.00	39107525.00
0.00	0.00	0.00	0.00	0.00	0.00	41881014.00	39174581.00
0.00	0.00	0.00	0.00	0.00	0.00	41954290.00	39200334.00
0.00	0.00	0.00	0.00	0.00	0.00	42112975.00	39290774.00
0.00	0.00	0.00	0.00	0.00	0.00	42203402.00	39353369.00
0.00	0.00	0.00	0.00	0.00	0.00	42215192.00	39400508.00
0.00	0.00	0.00	0.00	0.00	0.00	42468224.00	39406125.00
0.00	0.00	0.00	0.00	0.00	0.00	42470233.00	39422389.00
0.00	0.00	0.00	0.00	0.00	0.00	42475745.00	39497002.00
0.00	0.00	0.00	0.00	0.00	0.00	42650641.00	39501108.00
0.00	0.00	0.00	0.00	0.00	0.00	42668254.00	39504416.00
0.00	0.00	0.00	0.00	0.00	0.00	42676652.00	39509317.00
0.00	0.00	0.00	0.00	0.00	0.00	42745098.00	39601008.00
0.00	0.00	0.00	0.00	0.00	0.00	42812483.00	39722061.00
0.00	0.00	0.00	0.00	0.00	0.00	42818470.00	39723095.00
0.00	0.00	0.00	0.00	0.00	0.00	42842778.00	39789692.00
0.00	0.00	0.00	0.00	0.00	0.00	42909593.00	39840100.00
0.00	0.00	0.00	0.00	0.00	0.00	42921290.00	39850497.00
0.00	0.00	0.00	0.00	0.00	0.00	42959385.00	39860185.00
0.00	0.00	0.00	0.00	0.00	0.00	42975525.00	39914857.00
0.00	0.00	0.00	0.00	0.00	0.00	42981268.00	39937008.00
0.00	0.00	0.00	0.00	0.00	0.00	43054778.00	39956757.00
0.00	0.00	0.00	0.00	0.00	0.00	43113597.00	39962462.00
0.00	0.00	0.00	0.00	0.00	0.00	43138818.00	39969094.00
0.00	0.00	0.00	0.00	0.00	0.00	43233750.00	39995454.00
0.00	0.00	0.00	0.00	0.00	0.00	43238015.00	40019641.00
0.00	0.00	0.00	0.00	0.00	0.00	43253812.00	40029025.00
0.00	0.00	0.00	0.00	0.00	0.00	43269679.00	40126404.00
0.00	0.00	0.00	0.00	0.00	0.00	43275969.00	40159004.00
0.00	0.00	0.00	0.00	0.00	0.00	43286334.00	40169537.00
0.00	0.00	0.00	0.00	0.00	0.00	43292515.00	40191020.00
0.00	0.00	0.00	0.00	0.00	0.00	43320736.00	40277375.00
0.00	0.00	0.00	0.00	0.00	0.00	43321198.00	40340767.00
0.00	0.00	0.00	0.00	0.00	0.00	43321519.00	40383288.00
0.00	0.00	0.00	0.00	0.00	0.00	43323250.00	40408773.00
0.00	0.00	0.00	0.00	0.00	0.00	43324771.00	40438770.00
0.00	0.00	0.00	0.00	0.00	0.00	43327842.00	40507175.00
0.00	0.00	0.00	0.00	0.00	0.00	43329724.00	40513055.00
0.00	0.00	0.00	0.00	0.00	0.00	43342408.00	40618965.00
0.00	0.00	0.00	0.00	0.00	0.00	43342699.00	40630688.00
0.00	0.00	0.00	0.00	0.00	0.00	43348518.00	40631750.00
0.00	0.00	0.00	0.00	0.00	0.00	43350390.00	40634170.00
0.00	0.00	0.00	0.00	0.00	0.00	43381863.00	40733742.00
0.00	0.00	0.00	0.00	0.00	0.00	43641722.00	40773098.00
0.00	0.00	0.00	0.00	0.00	0.00	43656517.00	40784372.00
0.00	0.00	0.00	0.00	0.00	0.00	43670116.00	40802019.00
0.00	0.00	0.00	0.00	0.00	0.00	43689410.00	40819556.00
0.00	0.00	0.00	0.00	0.00	0.00	43704696.00	40884821.00
0.00	0.00	0.00	0.00	0.00	0.00	43832110.00	40885343.00
0.00	0.00	0.00	0.00	0.00	0.00	43938857.00	40895813.00
0.00	0.00	0.00	0.00	0.00	0.00	43955183.00	40930362.00
0.00	0.00	0.00	0.00	0.00	0.00	44002956.00	40998236.00
0.00	0.00	0.00	0.00	0.00	0.00	44011351.00	41086198.00
0.00	0.00	0.00	0.00	0.00	0.00	44034536.00	41087781.00
0.00	0.00	0.00	0.00	0.00	0.00	44064180.00	41148459.00
0.00	0.00	0.00	0.00	0.00	0.00	44072597.00	41190568.00
0.00	0.00	0.00	0.00	0.00	0.00	44093445.00	41209002.00
0.00	0.00	0.00	0.00	0.00	0.00	44111824.00	41213154.00
0.00	0.00	0.00	0.00	0.00	0.00	44368558.00	41244347.00
0.00	0.00	0.00	0.00	0.00	0.00	44461456.00	41253332.00
0.00	0.00	0.00	0.00	0.00	0.00	44511746.00	41258260.00
0.00	0.00	0.00	0.00	0.00	0.00	44777634.00	41271702.00
0.00	0.00	0.00	0.00	0.00	0.00	44791155.00	41279137.00
0.00	0.00	0.00	0.00	0.00	0.00	44905501.00	41282483.00
0.00	0.00	0.00	0.00	0.00	0.00	44909148.00	41285050.00
0.00	0.00	0.00	0.00	0.00	0.00	45175079.00	41293280.00
0.00	0.00	0.00	0.00	0.00	0.00	45270121.00	41370645.00
0.00	0.00	0.00	0.00	0.00	0.00	45272335.00	41484898.00
0.00	0.00	0.00	0.00	0.00	0.00	45284069.00	41488674.00
0.00	0.00	0.00	0.00	0.00	0.00	45289407.00	41500740.00
0.00	0.00	0.00	0.00	0.00	0.00	45289723.00	41517461.00
0.00	0.00	0.00	0.00	0.00	0.00	45315313.00	41521697.00
0.00	0.00	0.00	0.00	0.00	0.00	45387728.00	41522694.00
0.00	0.00	0.00	0.00	0.00	0.00	45391557.00	41524155.00
0.00	0.00	0.00	0.00	0.00	0.00	45432078.00	41524680.00
0.00	0.00	0.00	0.00	0.00	0.00	45593078.00	41526815.00
0.00	0.00	0.00	0.00	0.00	0.00	45622128.00	41536068.00
0.00	0.00	0.00	0.00	0.00	0.00	45671996.00	41536365.00
0.00	0.00	0.00	0.00	0.00	0.00	45675639.00	41540837.00
0.00	0.00	0.00	0.00	0.00	0.00	45710031.00	41545159.00
0.00	0.00	0.00	0.00	0.00	0.00	45830840.00	41548505.00
0.00	0.00	0.00	0.00	0.00	0.00	45903106.00	41549516.00
0.00	0.00	0.00	0.00	0.00	0.00	45935888.00	41568609.00
0.00	0.00	0.00	0.00	0.00	0.00	45937586.00	41578738.00
0.00	0.00	0.00	0.00	0.00	0.00	46056038.00	41644210.00
0.00	0.00	0.00	0.00	0.00	0.00	46057539.00	41661614.00
0.00	0.00	0.00	0.00	0.00	0.00	46058844.00	41676604.00
0.00	0.00	0.00	0.00	0.00	0.00	46059153.00	41699206.00
0.00	0.00	0.00	0.00	0.00	0.00	46059929.00	41705156.00
